Gene stable ID	Transcript stable ID	Oryza sativa Indica Group protein or transcript stable ID
AT5G16970	AT5G16970.1	
AT4G32100	AT4G32100.1	
AT2G43120	AT2G43120.1	BGIOSGA028543-PA
AT2G43120	AT2G43120.2	BGIOSGA028543-PA
AT1G30814	AT1G30814.3	
AT1G30814	AT1G30814.2	
AT1G30814	AT1G30814.4	
AT1G30814	AT1G30814.1	
AT3G18710	AT3G18710.1	BGIOSGA016388-PA
AT3G18710	AT3G18710.1	BGIOSGA019934-PA
AT3G18710	AT3G18710.1	BGIOSGA008383-PA
AT4G25880	AT4G25880.3	BGIOSGA029511-PA
AT4G25880	AT4G25880.1	BGIOSGA029511-PA
AT4G25880	AT4G25880.5	BGIOSGA029511-PA
AT4G25880	AT4G25880.2	BGIOSGA029511-PA
AT4G25880	AT4G25880.4	BGIOSGA029511-PA
AT4G25880	AT4G25880.3	BGIOSGA029012-PA
AT4G25880	AT4G25880.1	BGIOSGA029012-PA
AT4G25880	AT4G25880.5	BGIOSGA029012-PA
AT4G25880	AT4G25880.2	BGIOSGA029012-PA
AT4G25880	AT4G25880.4	BGIOSGA029012-PA
AT1G78930	AT1G78930.1	BGIOSGA031259-PA
AT1G78930	AT1G78930.1	BGIOSGA031569-PA
AT3G07950	AT3G07950.1	BGIOSGA026298-PA
AT3G07950	AT3G07950.1	BGIOSGA010704-PA
AT3G07950	AT3G07950.1	BGIOSGA015738-PA
AT4G03450	AT4G03450.1	BGIOSGA025328-PA
AT4G03450	AT4G03450.2	BGIOSGA025328-PA
AT4G03450	AT4G03450.1	BGIOSGA025329-PA
AT4G03450	AT4G03450.2	BGIOSGA025329-PA
AT1G71695	AT1G71695.1	BGIOSGA005230-PA
AT1G71695	AT1G71695.1	BGIOSGA005232-PA
AT1G71695	AT1G71695.1	BGIOSGA005231-PA
AT1G71695	AT1G71695.1	BGIOSGA005233-PA
AT1G58983	AT1G58983.1	
AT1G12980	AT1G12980.1	
AT5G41480	AT5G41480.1	BGIOSGA035804-PA
AT5G15008	AT5G15008.1	
AT3G51870	AT3G51870.1	BGIOSGA001942-PA
AT3G51870	AT3G51870.1	BGIOSGA001939-PA
AT4G29950	AT4G29950.2	BGIOSGA029008-PA
AT4G29950	AT4G29950.1	BGIOSGA029008-PA
AT4G29950	AT4G29950.3	BGIOSGA029008-PA
AT4G29950	AT4G29950.2	BGIOSGA020742-PA
AT4G29950	AT4G29950.1	BGIOSGA020742-PA
AT4G29950	AT4G29950.3	BGIOSGA020742-PA
AT3G18310	AT3G18310.1	
AT5G07360	AT5G07360.2	BGIOSGA033859-PA
AT5G07360	AT5G07360.1	BGIOSGA033859-PA
AT5G07360	AT5G07360.3	BGIOSGA033859-PA
AT4G08535	AT4G08535.2	
