Gene stable ID	Transcript stable ID	Medicago truncatula protein or transcript stable ID
AT5G16970	AT5G16970.1	KEH18025
AT4G32100	AT4G32100.1	KEH37375
AT4G32100	AT4G32100.1	AES66144
AT2G43120	AT2G43120.1	KEH21459
AT2G43120	AT2G43120.2	KEH21459
AT1G30814	AT1G30814.3	
AT1G30814	AT1G30814.2	
AT1G30814	AT1G30814.4	
AT1G30814	AT1G30814.1	
AT3G18710	AT3G18710.1	AES72815
AT3G18710	AT3G18710.1	AET04675
AT4G25880	AT4G25880.3	AES65229
AT4G25880	AT4G25880.1	AES65229
AT4G25880	AT4G25880.5	AES65229
AT4G25880	AT4G25880.2	AES65229
AT4G25880	AT4G25880.4	AES65229
AT1G78930	AT1G78930.1	KEH24711
AT3G07950	AT3G07950.1	AES62192
AT4G03450	AT4G03450.1	AES99856
AT4G03450	AT4G03450.2	AES99856
AT4G03450	AT4G03450.1	AES99887
AT4G03450	AT4G03450.2	AES99887
AT4G03450	AT4G03450.1	AES99886
AT4G03450	AT4G03450.2	AES99886
AT4G03450	AT4G03450.1	AES64910
AT4G03450	AT4G03450.2	AES64910
AT1G71695	AT1G71695.1	AES97670
AT1G71695	AT1G71695.1	KEH26056
AT1G71695	AT1G71695.1	KEH26053
AT1G71695	AT1G71695.1	KEH26066
AT1G58983	AT1G58983.1	KEH40624
AT1G58983	AT1G58983.1	AET05425
AT1G12980	AT1G12980.1	AES96064
AT5G41480	AT5G41480.1	KEH40416
AT5G41480	AT5G41480.1	AES81819
AT5G15008	AT5G15008.1	
AT3G51870	AT3G51870.1	AES86901
AT3G51870	AT3G51870.1	AES79518
AT4G29950	AT4G29950.2	AES92254
AT4G29950	AT4G29950.1	AES92254
AT4G29950	AT4G29950.3	AES92254
AT4G29950	AT4G29950.2	AES65315
AT4G29950	AT4G29950.1	AES65315
AT4G29950	AT4G29950.3	AES65315
AT3G18310	AT3G18310.1	AES71015
AT5G07360	AT5G07360.2	KEH20950
AT5G07360	AT5G07360.1	KEH20950
AT5G07360	AT5G07360.3	KEH20950
AT4G08535	AT4G08535.2	
AT4G08535	AT4G08535.3	
AT4G08535	AT4G08535.1	
AT4G26490	AT4G26490.1	
AT5G46240	AT5G46240.1	KEH19291
AT5G46240	AT5G46240.1	AET02738
AT5G46240	AT5G46240.1	AES64187
AT5G62260	AT5G62260.2	AES75901
AT5G62260	AT5G62260.1	AES75901
AT5G62260	AT5G62260.3	AES75901
AT5G62260	AT5G62260.2	KEH42820
AT5G62260	AT5G62260.1	KEH42820
AT5G62260	AT5G62260.3	KEH42820
AT5G62260	AT5G62260.2	AES75868
AT5G62260	AT5G62260.1	AES75868
AT5G62260	AT5G62260.3	AES75868
AT4G16955	AT4G16955.1	
AT3G25717	AT3G25717.1	AES62076
AT1G45223	AT1G45223.1	
AT5G35715	AT5G35715.1	AES70572
AT5G41908	AT5G41908.1	
AT2G21390	AT2G21390.1	KEH43347
AT2G21390	AT2G21390.1	AES89203
AT3G48330	AT3G48330.1	
AT3G48330	AT3G48330.4	
AT3G48330	AT3G48330.3	
AT3G48330	AT3G48330.2	
AT4G32710	AT4G32710.1	
AT3G46440	AT3G46440.2	AES67602
AT3G46440	AT3G46440.1	AES67602
AT3G46440	AT3G46440.2	AES88859
AT3G46440	AT3G46440.1	AES88859
AT2G21930	AT2G21930.2	AET00953
AT2G21930	AT2G21930.1	AET00953
AT3G53910	AT3G53910.1	
AT4G25090	AT4G25090.2	AES72974
AT4G25090	AT4G25090.1	AES72974
AT4G25090	AT4G25090.2	AET04913
AT4G25090	AT4G25090.1	AET04913
AT4G25090	AT4G25090.2	AES62941
AT4G25090	AT4G25090.1	AES62941
AT4G25090	AT4G25090.2	AES72972
AT4G25090	AT4G25090.1	AES72972
AT4G25090	AT4G25090.2	AES72977
AT4G25090	AT4G25090.1	AES72977
AT2G18870	AT2G18870.1	
AT1G56250	AT1G56250.1	AES61426
AT1G56250	AT1G56250.1	AES82411
AT3G16830	AT3G16830.1	KEH37173
AT3G16830	AT3G16830.1	AES66309
AT3G16830	AT3G16830.1	AES91919
AT3G16830	AT3G16830.1	KEH37175
AT5G20470	AT5G20470.1	KEH40915
AT5G04950	AT5G04950.1	AES61471
AT5G04950	AT5G04950.1	KEH24489
AT5G04950	AT5G04950.1	AES65004
AT4G13720	AT4G13720.2	KEH41256
AT4G13720	AT4G13720.1	KEH41256
AT5G50110	AT5G50110.2	AES91116
AT5G50110	AT5G50110.1	AES91116
AT3G03305	AT3G03305.1	AES80433
AT5G66670	AT5G66670.1	AES94879
AT5G66670	AT5G66670.3	AES94879
AT5G66670	AT5G66670.4	AES94879
AT5G66670	AT5G66670.2	AES94879
AT5G66670	AT5G66670.1	AET03967
AT5G66670	AT5G66670.3	AET03967
AT5G66670	AT5G66670.4	AET03967
AT5G66670	AT5G66670.2	AET03967
AT4G08039	AT4G08039.1	
AT2G38310	AT2G38310.1	
AT2G26900	AT2G26900.1	AES91399
AT5G23000	AT5G23000.1	KEH39399
AT5G23000	AT5G23000.1	KEH29971
AT1G66852	AT1G66852.1	AET04159
AT1G66852	AT1G66852.1	AET04161
AT1G69810	AT1G69810.1	
AT1G69810	AT1G69810.2	
AT1G72450	AT1G72450.1	KEH18500
AT1G72450	AT1G72450.2	KEH18500
AT5G03560	AT5G03560.2	AES61537
AT5G03560	AT5G03560.1	AES61537
AT5G03560	AT5G03560.4	AES61537
