WG
A.thaliana id 	 zscore 		 B.rapa id 	 length  count   zscore
AT5G04290.1 	 42.17304509508726 	 Bra009470.1-P 	 1543 	 49 	 43.99164915695373
AT2G15780.1 	 19.440494321756447 	 Bra041119.1-P 	 187 	 12 	 10.34747401242412
AT1G65440.1 	 17.621890259889984 	 Bra004114.1-P 	 1594 	 16 	 13.984682136157051
AT1G65440.1 	 17.621890259889984 	 Bra022478.1-P 	 1609 	 18 	 15.803286198023518
AT2G40030.1 	 17.621890259889984 	 Bra000162.1-P 	 2059 	 35 	 31.26142072388847
AT5G35660.1 	 17.621890259889984 	 Bra035528.1-P 	 212 	 13 	 11.256776043357354
AT5G63860.1 	 14.893984167090286 	 Bra024242.1-P 	 411 	 17 	 14.893984167090286
AT5G63860.1 	 14.893984167090286 	 Bra029198.1-P 	 412 	 17 	 14.893984167090286
AT5G63860.1 	 14.893984167090286 	 Bra037755.1-P 	 416 	 17 	 14.893984167090286
AT5G13530.1 	 12.166078074290587 	 Bra006205.1-P 	 1608 	 14 	 12.166078074290587
AT3G53830.4 	 11.256776043357354 	 Bra014860.1-P 	 400 	 10 	 8.528869950557656
AT3G55580.1 	 11.256776043357354 	 Bra007177.1-P 	 476 	 13 	 11.256776043357354
AT3G51940.2 	 10.34747401242412 	 Bra006884.1-P 	 610 	 10 	 8.528869950557656
AT2G15770.1 	 10.34747401242412 	 Bra015235.1-P 	 281 	 16 	 13.984682136157051
AT4G33930.1 	 9.438171981490889 	 Bra034601.1-P 	 222 	 13 	 11.256776043357354
AT4G33930.1 	 9.438171981490889 	 Bra034618.1-P 	 298 	 13 	 11.256776043357354
AT5G03990.1 	 8.528869950557656 	 Bra009495.1-P 	 333 	 9 	 7.619567919624424
AT3G02510.1 	 8.528869950557656 	 Bra021435.1-P 	 392 	 10 	 8.528869950557656
AT4G34300.1 	 8.528869950557656 	 Bra034601.1-P 	 222 	 13 	 11.256776043357354
AT4G34300.1 	 8.528869950557656 	 Bra034618.1-P 	 298 	 13 	 11.256776043357354
AT4G24680.1 	 8.528869950557656 	 Bra013824.1-P 	 1352 	 11 	 9.438171981490889
AT4G24680.1 	 8.528869950557656 	 Bra019213.1-P 	 1394 	 9 	 7.619567919624424
AT5G16040.1 	 8.528869950557656 	 Bra008654.1-P 	 397 	 9 	 7.619567919624424
AT4G32770.1 	 7.619567919624424 	 Bra037042.1-P 	 490 	 10 	 8.528869950557656
AT2G41260.2 	 7.619567919624424 	 Bra016944.1-P 	 210 	 0 	 -0.5641503587746683
AT2G41260.2 	 7.619567919624424 	 Bra004612.1-P 	 284 	 1 	 0.3451516721585641
